adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/4cypnz702rHynulnAus5wF02NNl.jpg,[35],1535759,pt,Linha de Apoio ao Suicídio,"This short sketch shows us what a day in the life of Teotónio, a suicide hotline operator, is like.",0.0239,/liyNoc9hlaRlvhdjGbDZ9gfAVcZ.jpg,2023-03-25,Suicide Helpline,False,10.0,1
False,/g344EnRTUKcUW1Vc9gyaOyrLhCp.jpg,[18],1534334,id,Dual Perspektif,"A man is sitting at a bar, chatting with a bartender. A young man comes in and sits next to him, shifting the conversation toward the newcomer. Their conversation flows smoothly until they reach a disagreement about politics, which sparks a debate between the two characters.",0.0071,/oy80OK4HnxWxUl7SNKweozpZO0q.jpg,2023-12-12,Dual Perspektif,False,10.0,1
False,,[18],1532617,en,The Fires,"Having lived illegally in Canada for the past eight years, Danny Gallagher returns to his family home in rural Donegal. He spends his days isolated, seeking to make sense of the bruises left by his past by recording an audio tape for a person that he no longer knows. Only when the tape is finished, and the house is cleared, can he finally move on.",0.2123,/wQdPqGytXLeZSCJWYInSJ72ZvRB.jpg,2023-07-13,The Fires,False,10.0,1
False,/9rb01QatSZhshauDqO7t4VEzPkE.jpg,"[80, 35, 53]",1530783,en,Forbidden Fruit,"After a failed heist, thieves Van Buren and Roosevelt journey through a rustbelt town's criminal underbelly in an attempt to save their lives and their relationship.",0.0261,/v2a1s29BEtnnxCQtvEusL8FW9Dt.jpg,2023-05-05,Forbidden Fruit,False,10.0,1
False,,"[18, 9648]",1528528,es,Erbestean,,0.0286,/8zRirP2DNwDw888roDnC7tl9Xyh.jpg,2023-01-05,Erbestean,False,10.0,1
False,,[],1528201,pt,SL Benfica vs Sporting CP 22-23,,0.0071,,2023-05-21,SL Benfica vs Sporting CP 22-23,False,10.0,1
False,,[],1528200,pt,SL Benfica vs Sporting CP 23-24,,0.0143,,2023-11-12,SL Benfica vs Sporting CP 23-24,False,10.0,1
False,,[],1528199,pt,SL Benfica vs FC Porto,,0.0,,2023-09-29,SL Benfica vs FC Porto,False,10.0,1
False,,[],1528198,pt,SL Benfica vs Estrela Amadora,,0.0071,,2023-08-19,SL Benfica vs Estrela Amadora,False,10.0,1
False,/n9VS2t8vtjVpqELEv4vN69T72PA.jpg,[99],1526257,en,Our Honeymoon,"A documentary of a honeymoon to the Pacific Northwest, including plane flights, stops in Portland, Oregon and Coeur D’Alene, Idaho.",0.0071,/26v4YL6fYahtzBKrwpxkKRSh4SV.jpg,2023-08-13,Our Honeymoon,False,10.0,1
False,/55Ua4GNsc9lu3LphIgU4pKdIbp5.jpg,"[99, 36]",1521184,en,Artsakh: part 7,Artsakh: Part 2:  It is analyzed by experts-historians and is based on indisputable historical facts.,0.0071,/8AoURdvkYQGBGoTb3LOVQEvSvhi.jpg,2023-07-28,Artsakh: part 7,False,10.0,1
False,/xCfEz6fvvIxUlhXz4XaDfpsVCsS.jpg,"[28, 80, 53, 18]",1518784,en,Witnessed,"When a son, Daniel Ortiz witnesses his father's brutal murder, he wrestles within himself if he should ignore his values and teachings or become a coldblooded murderer seeking revenge. One step behind him, on the case is Marcus Tillman, a detective with questionable morals and connections that run deep in the dark side of the city.",1.2524,/lyoKDMr6xegehJCih3FehvSrFBu.jpg,2023-05-06,Witnessed,False,10.0,1
False,,[],1517746,en,A New Voice,A New Voice is a firsthand look into the upward journey of citizens returning to communities after incarceration. The film sheds some light on the rarely seen success stories of people who have transitioned home from prison and their impact on their communities.,0.0,/8wZYx9DcdwLmIn9gaoR4CZJAGxu.jpg,2023-01-01,A New Voice,False,10.0,1
False,/fKXw59iJyRp2jtKkoraNzLWTIC2.jpg,"[35, 80]",1515906,en,Clash For Cash,"After the price of their streaming service increases, an eccentric group of thieves take it upon themselves to rob one of the least secure banks in the city.",0.0071,/k0hyWoiqNvBcnaS8eyMfdmBgZTd.jpg,2023-07-28,Clash For Cash,False,10.0,1
False,,[18],1514178,en,Down A Cent,"A homeless woman goes into a local cafe, only to be followed a unknown man walks into the cafe with a more sinister intention in mind",0.0387,/bYXKM5MvAoVKFtYbSNsJ1fOqY4B.jpg,2023-07-04,Down A Cent,False,10.0,1
False,/m0PUGf0ibwEdoKNBtBwWHMNXBH.jpg,"[99, 36]",1514139,hy,Artsakh: part 6,The 6th part of the Artsakh film series tells the story of the history of Artsakh from 1921 to 1960. It is analyzed by experts-historians and is based on indisputable historical facts.,0.0,/rd6lTTmGM2bsjo0Otiav91EsOt3.jpg,2023-04-21,Artsakh: part 6,False,10.0,1
False,/fYa5Z7htjwBCD36I4PbcNWyfUsW.jpg,"[99, 36]",1514091,hy,Artsakh: part 5,The 5th part of the Artsakh film series tells the story of the history of Artsakh from 1917 to 1921. It is analyzed by experts-historians and is based on indisputable historical facts.,0.0071,/cCrL9t97xBHqhYGcZZPLTjlevsc.jpg,2023-03-24,Artsakh: part 5,False,10.0,1
False,/o1k7aYz31M3hj0PcGV0wiJFPo4Z.jpg,[10402],1513289,ja,『ヒプノシスマイク -Division Rap Battle-』Rule the Stage《Rep LIVE side Rule the Stage Original》,Blu-ray release of character rap project “Hypnosis Mic: Division Rap Battle - Rule the Stage [Rep LIVE side Rule the Stage Original]”.,1.7562,/9Z1UaDWIv7BVLHe7xCqoo0FeBSA.jpg,2023-12-13,Hypnosis Mic: Division Rap Battle - Rule the Stage [Rep LIVE side Rule the Stage Original],False,10.0,1
False,/q0c24aoLUOsfKwXCP3GsG62j0a6.jpg,[10402],1513274,ja,『ヒプノシスマイク -Division Rap Battle-』Rule the Stage《Rep LIVE side D.H》,Blu-ray release of character rap project “Hypnosis Mic: Division Rap Battle - Rule the Stage [Rep LIVE side D.H]”.,1.6804,/4NL7rT0dLyrK0neScBplZgN2BIo.jpg,2023-11-15,Hypnosis Mic: Division Rap Battle - Rule the Stage [Rep LIVE side D.H],False,10.0,1
False,/9ur4PNwvBIPkkLjrqiizjMqdCBE.jpg,"[36, 99]",1512184,hy,Artsakh: part 4,It is analyzed by experts-historians and is based on indisputable historical facts. The establishment of Russian rule in Artsakh,0.0,/6FMqCWUaPDkbjB8OniRk4wz8Kum.jpg,2023-03-01,Artsakh: part 4,False,10.0,1
False,/tp0RzbmbPnTNiK3XPwkeqnOpk7F.jpg,"[99, 36]",1512131,hy,ARTSAKH: The kingdoms of Khamsa: part 3,Armed Struggle in Artsakh after the 17th Century. It is analyzed by experts-historians and is based on indisputable historical facts. The film tells the story of the period of the Khamsa kingdoms in Artsakh.,0.0239,/3166GtHtnOvyek3GYCe8LqODkTq.jpg,2023-01-30,ARTSAKH: The kingdoms of Khamsa: part 3,False,10.0,1
False,,"[27, 53, 18]",1511911,en,Solipsism,"Set in cosmopolitan London, Aikya, a British-Indian blogger believes she is the only person that exists in the world. Continuing her daily life convinced that every interaction with another is purely a construct in her own world, her beliefs and existence are shattered after she witnesses the ultimately suicide of a neighbour. Thrust into a world unknown, Aikya must process unfounded human emotions, grapple with her solipsism and engage with the idea that she may not be alone after all.",0.0286,/x2AqndrN0QKewELasSLu4MHYQOY.jpg,2023-03-27,Solipsism,False,10.0,1
False,,[],1511557,pt,Este é o meu fado,"Júlia dreams making fado her life, but her father forces her to study law. One day she meets a guitarist and decides to fight for what she believes is her future.",0.0,/nB3JyaNulcGeDQ93AJPzr89tCzn.jpg,2023-01-17,This is my fado,False,10.0,1
False,/ljLKU54T3seCJY67HgCAC0doyb9.jpg,[10402],1511199,ja,Lily Chou-Chou LIVE U-Next 2023,,1.0289,/jYOnwFMVVrVOJnW40zLDhuFs77o.jpg,2023-10-21,Lily Chou-Chou LIVE U-Next 2023,False,10.0,1
False,,[18],1511013,en,Pizza Margherita,"Despite its title, this short film explores the delicate and serious theme of sexual harassment.",0.0487,,2023-04-02,Pizza Margherita,False,10.0,1
False,/llQJlDhiORkxZ7oPcJ0hBz5KIY5.jpg,"[35, 99]",1510243,en,Lone Stars,"""Lone Stars"" is a heartwarming mockumentary that follows the misadventures of Jo Ellen and Dan Burnevik, a lovable music duo known by all in the vibrant Georgetown, Texas. Their claim to fame is their catchy song ""Lonestar,"" and want nothing more than a sponsorship with the iconic Lone Star Beer. Desperate for marketing material, Jo Ellen and Dan hire two out-of-work filmmakers to shoot content. But after the filmmakers initial attempt at shooting high quality video fails, Jo Ellen and Dan consider hiring a replacement. In an attempt to win them back, the two filmmakers convince one of their friends to act as a Lone Star Beer Executive and convince Jo Ellen and Dan to stick around.",0.0143,/9To3D9Z4HU09LouVcNJpySV4nc8.jpg,2023-07-27,Lone Stars,False,10.0,1
False,/9ndAzAtEay5kdTYDyWTSOnuv2X1.jpg,"[878, 35]",1507342,en,Flawless New Amazon Alexa,A boy fights against an oppressive AI that controls his whole life.,0.0239,/xMI7Z5SFMalk9CgH6K5GKlEblhU.jpg,2023-12-06,Flawless New Amazon Alexa,False,10.0,1
False,,[18],1505796,en,Footlights,A homeless man alternates between living on the streets and performing on stage. We get a glimpse of the inner pain and frustration that this dual life is causing.,0.0143,/nJteTkzUnVlsC9UvJq4eLRwUzBO.jpg,2023-01-23,Footlights,False,10.0,1
False,/6krQGbMXBCuY9gIkahCw2pJYEDb.jpg,"[27, 9648, 16, 53]",1505018,en,Nun - The Beginning !!,"Christine, a widowed doctor, seeking advice from priest, finds his connection to her dead husband. What she finds out may cost her...",0.0503,/kk4VcDcVajsOk149wUzj9EQsMBA.jpg,2023-09-05,Nun - The Beginning !!,False,10.0,1
False,/vqfmMsrEtMtf0ikMnsjCgWPpyQp.jpg,"[16, 12, 14, 9648, 27]",1504677,en,Traveler discovers a Woman running from her Husband & In-laws but then...,"A traveler discovers a woman running from some men, upon inquire the traveler discovers they were her family; they claim she is unstable. On the insistence of the woman's husband, the traveler agrees to stay that night with the family.",0.0311,/cRXy9Vrr6pOXxfSvtPz5Kembrr3.jpg,2023-06-08,Traveler discovers a Woman running from her Husband & In-laws but then...,False,10.0,1
False,/rsrrvBza8QpecV08zPQbQo8bc6z.jpg,"[27, 10751, 9648, 12]",1504654,en,Summer Vacation at the Small Town Ranch House and the Rural Legend !!,"On summer vacation Emma goes to a small ranch house. Here everyone knows everyone, and often spends evenings barbecuing together. Emma learns about a rural legend, and against everyone's warning Emma decides to solve the mystery herself.",0.0264,/1w8phrYqk0nAJ0MUUFwKW718zN8.jpg,2023-05-28,Summer Vacation at the Small Town Ranch House and the Rural Legend !!,False,10.0,1
