title,release_date,vote_average,vote_count,overview,original_language,popularity
Blackwoods,2024-03-09,10.0,1,"In the face of rising mental health challenges among black men, therapist Dillon leads 5 friends on a weekend retreat at a secluded cabin, where they confront their inner demons and rediscover the healing power of brotherhood in Blackwoods.",en,0.1466
Capturing the Electrons,2024-12-30,10.0,1,"Capturing the Electrons documents the life and career of Nobel Prize-winning Hungarian physicist Ferenc Krausz. His research team has generated and measured the first attosecond light pulse and used it for capturing electrons' motion inside atoms, marking the birth of attophysics. In 2023, jointly with Pierre Agostini and Anne L'Huillier, he was awarded the Nobel Prize in Physics.",hu,0.0143
Morana: A Long Way Home,2024-07-04,10.0,1,"Upon learning the news that a meteor that will collide with Earth in just a few days time, a man anxiously waits and wonders if his brother, who lives on another continent, will make it home in time before the world ends.",en,0.0168
The Road in Between,2024-12-10,10.0,1,A melodrama depicting the journey of a man from the Road View filming crew with a keen eye for direction and a woman who is not good at finding her father on the road.,ko,0.8761
Ryan Nasty: The Ideal Man,2024-11-15,10.0,1,"Message from the Filmmaker: This film was never meant to be seen. It was Ryan’s idea to create a film about himself, but unhappy with the results he ordered it to be destroyed. As the filmmaker, I found it important this footage be released. Ryan believes himself to be the ideal man, but upon interviewing him I realized that it’s not so much that he takes extreme pride in his masculinity, but rather his greatest fear is being perceived as feminine. Rarely have I encountered a man as full of it as Ryan.",en,0.0
Night of the Living Morons,2024-05-07,10.0,1,"Appropriated footage from NIGHT OF THE LIVING DEAD, the film tells a story of a group of people bound together in a house hiding from insane republicans as they kill innocent people.",en,0.0
House // Tenants,2024-05-07,10.0,1,Documentary about a house and the people who live inside of it.,en,0.0
Love 119,2024-01-05,10.0,8,“Love 119” is part of Riize’s 1st mini-album Riizing. This pop dance song that has a dreamy atmosphere with a sweet mellow piano riff and drum beat is about the feeling of falling in love for the first time. It express the emotions felt when falling in love in a dreamy and melancholic manner.,ko,0.1923
Campus ITA,2024-04-02,10.0,1,,pt,0.0214
The Debate,2024-10-01,10.0,1,"Rising tensions in America. Nick Casal and Kevin Alcazar are set to face off in their first debate of the 2024 election, moderated by Eric Shun. Both candidates will address the issues in the country such as the ongoing wars, inflation, and more.",en,0.0688
LADO A LADO,2024-09-10,10.0,1,,pt,0.0297
Inner Reckoning,2024-02-01,10.0,1,A highschooler has to fight off his inner demons while attempting to finish a short film for an application.,xx,0.0143
BRINK,2024-10-24,10.0,1,"Out of work and desperate for money, a struggling family man plots an elaborate scheme to secure a cash grab that would exceed his drug-fueled ambitions.",en,0.8591
Girls Never Die,2024-05-08,10.0,1,"This project follows the resilience of women, symbolising their empowerment and ability to overcome failure and hardship, and how 24 different women from a multitude of lives came together as 1.",en,0.0382
Pigeon People,2024-02-14,10.0,1,"Pigeons, pigeons everywhere, sweet little birds, or domestic terrorists. The people of Leeds weigh up the big question. Are pigeons with the people or are pigeons against the people? PIGEON PEOPLE PIGEON PEOPLE PIGEON PEOPLE!!",en,0.0412
Eurovision: The Most Controversial Edition,2024-08-24,10.0,1,Eurovision: The Most Controversial talks about the controversy that happened at the Eurovision Song Contest in 2024 in Sweden.,en,0.0071
Yalla Cinema,2024-11-11,10.0,1,"A group of friends are brought together by chance to meet again and resolve a dispute that occurred in the past, despite their different personalities and motivations. However, they agree to go to their favourite place. Will they succeed in overcoming all the obstacles that stand in the way of their passion?",en,0.0362
The Cobra Kai Movie,2024-11-22,10.0,1,"A bullied teen embarks on his journey to become heroic, taking inspiration from the Netflix show, Cobra Kai. With the help of the people that made Cobra Kai possible, he finally overcomes his lack of confidence and defeats his high school bully.",en,0.1678
Dream Sequence,2024-11-14,10.0,1,"A young woman wakes up from a long daydream, but soon begins to doubt whether she is truly awake or if everything is just a dream.",th,0.0958
A True Act of Comedy,2024-10-04,10.0,1,"In a society desensitized to extreme horror and violence, a young aspiring writer, Robin, grapples with the changing times and his mentally unstable best friend, Reggie, who will do whatever it takes to reach the top.",en,0.0193
I Hate AI,2024-06-01,10.0,1,An actor discovers his identity and look has been stolen and replicated by AI.,en,0.0143
Emerge & Fade,2024-12-04,10.0,1,"Two figures —an angel bathed in light and a widow veiled in mourning— mirror each other’s gestures.  Through the interplay of costume, color, and hand-drawn intervention, Emerge & Fade explores how innocence and disillusion coexist and transform one another.",es,0.0546
Bajo el Sol,2024-05-09,10.0,1,,es,0.0588
Dentro de Mim Passa Um Rio,2024-11-29,10.0,1,,pt,0.0
13 Lentes De Um Final Feliz,2024-12-24,10.0,1,,pt,0.0071
Dessine moi l'avenir,2024-06-28,10.0,1,,fr,0.0
MIC DROP - A Hip Hop Short Film,2024-09-27,10.0,1,A struggling rapper comes to terms with his ex-girlfriend's commercial success.,en,0.0071
to the stranger who has loved you all your life,2024-07-12,10.0,1,"An experimental short film that traces the emotional landscape of life after heartbreak. Through intimate narration and cinematography, the film reflects on time, healing, and the rediscovery of self. A quiet yet cinematic portrait of learning to love the stranger within, and rediscovering the beauty of simply being alive.",en,0.0143
Yvera,2024-07-31,10.0,1,,es,0.1055
Conexões da Noite: Moda e Subcultura Paulistana,2024-12-13,10.0,1,,pt,0.0
The Restless,2024-03-21,10.0,1,"After Rutherford falls into a manic episode, his dreams start to become independant. Almost like another Person... This Silent film with an original Soundtrack follows Rutherford navigating his repression in his dreams as they start to feel realer and realer.",en,0.0
Love & Moral,2024-06-20,10.0,1,A young womans search for morality leads her to a schizophrenic break...,en,0.0214
"Diam-Diam, Aku Ingin Melawan",2024-12-24,10.0,2,,id,0.0143
Les Intrépides,2024-01-28,10.0,1,,fr,0.0286
B:ARE!,2024-10-08,10.0,1,"Melek (12) is a 5th grade elementary school student who was the subject of a joke from his teacher, Mr. Koqhar (40). This made her feel ostracized in front of the class. Therefore, she sought out the answer and revealed the secret of her name to her father at home. But when she brought the answer back to class, Melek realized that it wasn't the answer that mattered, but the courage to speak up in front of her",id,0.0239
What's Beyond a Broken Mirror?,2024-05-13,10.0,1,An abstract adventure exploring the anxiety of a young mans journey leaving home.,en,0.0143
The Last Temptation,2024-01-10,10.0,1,"A man finds himself trapped in the world of Faust, where he must confront his deepest nightmares and desires. He meets devil and a pale girl in this world, and to set the girl free, he must make a choice and do sacrifice. At the end, he makes the girl leave the hell she's trapped in, and as the payment, he becomes the devil of the world as the previous devil exits.",fa,0.0071
O EREMITA,2024-11-16,10.0,1,,pt,0.0996
Arabella,2024-07-05,10.0,1,"After Arabella wishes for fame and attention, her world opens up in an entirely new way. But when she tries to hold her audience's attention spans in more desperate ways, she realizes fame isn't as perfect as she thought.",en,0.0478
my life through my eyes,2024-05-18,10.0,1,"A short experimental film that explores one filmmaker’s journey to preserve fleeting moments before they fade. Created as a heartfelt introduction into Koen's film making journey, the film blends nostalgic visuals with inventive storytelling techniques, exploring childhood dreams, the fear of forgetting, and the impulse to document life as it unfolds. This marks Koen’s first true dive into editing and cinematography, born from years of unfinished projects, it stands as a heartfelt introduction to a lifelong pursuit of storytelling, dedicated to the child in all of us who once dreamed.",en,0.0071
AGAIN,2024-11-18,10.0,1,,en,0.1484
Parade Nuptiale,2024-04-15,10.0,1,,fr,0.0797
Fly High Mono,2024-04-03,10.0,1,"The little mannequin, once content to be sketched, now longs to escape the confines of the canvas.",en,0.0714
Deadmate,2024-06-13,10.0,1,"In a quiet small town, a shocking murder sets the board, and every resident is a piece in a dangerous game. As a determined investigator maneuvers through secrets and lies, each move reveals hidden motives, forcing the town’s players into a high-stakes match where one wrong step could be fatal.",en,0.0071
The strange case of detective Jones,2024-04-23,10.0,1,"Two street girls are slain on consecutive nights, their murders echoing a sinister pattern. When a third victim — an amateur model — turns up dead, panic spreads through the city, and whispers of a modern “Jack the Ripper” begin. Detective Jones, recently divorced and battling his own demons, is forced to chase the killer through a spiral of violence where each night brings a new victim… and darker surprises.",en,0.0931
A' Gabhail Ris,2024-02-23,10.0,1,A man misses out on life and the end of the world because he’s too busy dwelling on a bad break up.,en,0.0264
Strike: The Battle of the Four Clans,2024-06-14,10.0,1,"After the rise of a government threat, the four clans (Administrative Artisans, Sorcerer Teachers, Postgraduate Reapers, and Student Warriors) will unite to confront it. Conflict and bloodshed will be inevitable in a battle for rights.",pt,1.1361
Coockpit e Biggy Woody,2024-08-27,10.0,1,,pt,0.0
